,Image,Accuracy,F1,Jaccard,Recall,Precision,confusion
0,volume-71_slice_11_0,0.9991874694824219,0.9991874694824219,0.998376258304524,0.9991874694824219,0.9991874694824219,"[[0. 0.]
 [1. 1.]]"
1,volume-71_slice_26_0,0.9992332458496094,0.9992332458496094,0.998467666622196,0.9992332458496094,0.9992332458496094,"[[0. 0.]
 [1. 1.]]"
2,volume-71_slice_33_0,1.0,1.0,1.0,1.0,1.0,"[[0. 0.]
 [0. 1.]]"
3,volume-71_slice_46_0,1.0,1.0,1.0,1.0,1.0,"[[0. 0.]
 [0. 1.]]"
4,volume-71_slice_50_0,0.9993476867675781,0.9993476867675781,0.9986962240054896,0.9993476867675781,0.9993476867675781,"[[0. 0.]
 [1. 1.]]"
5,volume-71_slice_51_0,0.9999198913574219,0.9999198913574219,0.9998397955486049,0.9999198913574219,0.9999198913574219,"[[0. 0.]
 [1. 1.]]"
6,volume-71_slice_85_0,0.9280586242675781,0.9280586242675781,0.8657736750141457,0.9280586242675781,0.9280586242675781,"[[0.52193972 0.        ]
 [0.47806028 1.        ]]"
7,volume-71_slice_89_0,0.9044952392578125,0.9044952392578125,0.8256424542099032,0.9044952392578125,0.9044952392578125,"[[0. 0.]
 [1. 1.]]"
8,volume-72_slice_13_0,0.9998283386230469,0.9998283386230469,0.9996567361712353,0.9998283386230469,0.9998283386230469,"[[0. 0.]
 [1. 1.]]"
9,volume-72_slice_15_0,0.9999961853027344,0.9999961853027344,0.9999923706345725,0.9999961853027344,0.9999961853027344,"[[0. 0.]
 [1. 1.]]"
10,volume-72_slice_16_0,0.9999504089355469,0.9999504089355469,0.9999008227893972,0.9999504089355469,0.9999504089355469,"[[0. 0.]
 [1. 1.]]"
11,volume-72_slice_35_0,0.9968414306640625,0.9968414306640625,0.993702751623747,0.9968414306640625,0.9968414306640625,"[[0.98490825 0.0028871 ]
 [0.01509175 0.9971129 ]]"
12,volume-72_slice_39_0,0.9610633850097656,0.9610633850097656,0.925045254102243,0.9610633850097656,0.9610633850097656,"[[0. 0.]
 [1. 1.]]"
13,volume-72_slice_59_0,0.8468399047851562,0.8468399047851562,0.7343645590054715,0.8468399047851562,0.8468399047851562,"[[0. 0.]
 [1. 1.]]"
14,volume-72_slice_6_0,0.8462600708007812,0.8462600708007812,0.7334929210503693,0.8462600708007812,0.8462600708007812,"[[0.025     0.1536146]
 [0.975     0.8463854]]"
15,volume-72_slice_76_0,0.9707756042480469,0.9732165905314424,0.9478304592349808,0.975669883333525,0.9707756042480469,"[[0.86610387 0.01626314]
 [0.13389613 0.98373686]]"
16,volume-72_slice_77_0,0.9770240783691406,0.9789753517963928,0.9588165707055203,0.9809344348312325,0.9770240783691406,"[[0.89895093 0.01414803]
 [0.10104907 0.98585197]]"
17,volume-72_slice_83_0,0.998260498046875,0.998260498046875,0.9965270373191165,0.998260498046875,0.998260498046875,"[[0.99437807 0.00169689]
 [0.00562193 0.99830311]]"
18,volume-72_slice_84_0,0.9983329772949219,0.9983329772949219,0.9966715032694673,0.9983329772949219,0.9983329772949219,"[[7.64281753e-01 4.60933929e-05]
 [2.35718247e-01 9.99953907e-01]]"
19,volume-73_slice_106_0,0.9827766418457031,0.9827766418457031,0.9661365264251347,0.9827766418457031,0.9827766418457031,"[[5.01127142e-01 3.51400865e-04]
 [4.98872858e-01 9.99648599e-01]]"
20,volume-73_slice_11_0,1.0,1.0,1.0,1.0,1.0,"[[0. 0.]
 [0. 1.]]"
21,volume-73_slice_18_0,0.9999923706054688,0.9999923706054688,0.9999847413273519,0.9999923706054688,0.9999923706054688,"[[0. 0.]
 [1. 1.]]"
22,volume-73_slice_1_0,0.9170608520507812,0.9172742986000618,0.8471899183828816,0.9174878445321385,0.9170608520507812,"[[0.1        0.08244975]
 [0.9        0.91755025]]"
23,volume-73_slice_48_0,1.0,1.0,1.0,1.0,1.0,"[[0. 0.]
 [0. 1.]]"
24,volume-73_slice_53_0,1.0,1.0,1.0,1.0,1.0,"[[0. 0.]
 [0. 1.]]"
25,volume-73_slice_55_0,1.0,1.0,1.0,1.0,1.0,"[[0. 0.]
 [0. 1.]]"
26,volume-73_slice_68_0,0.9981842041015625,0.9981842041015625,0.9963749904805422,0.9981842041015625,0.9981842041015625,"[[9.36765529e-01 9.66856170e-04]
 [6.32344712e-02 9.99033144e-01]]"
27,volume-73_slice_74_0,0.9957695007324219,0.9957695007324219,0.9915746449233247,0.9957695007324219,0.9957695007324219,"[[8.36802917e-01 1.36952532e-04]
 [1.63197083e-01 9.99863047e-01]]"
28,volume-73_slice_78_0,0.9918441772460938,0.9918441772460938,0.983820313150347,0.9918441772460938,0.9918441772460938,"[[0.8262734  0.00188849]
 [0.1737266  0.99811151]]"
29,volume-73_slice_83_0,0.994171142578125,0.994171142578125,0.9884098425316302,0.994171142578125,0.994171142578125,"[[0.97127176 0.0047628 ]
 [0.02872824 0.9952372 ]]"
30,volume-73_slice_84_0,0.9933395385742188,0.9933395385742188,0.9867672136117321,0.9933395385742188,0.9933395385742188,"[[0.97130102 0.00555288]
 [0.02869898 0.99444712]]"
31,volume-73_slice_86_0,0.991424560546875,0.991424560546875,0.9829949468970317,0.991424560546875,0.991424560546875,"[[0.96033058 0.00675217]
 [0.03966942 0.99324783]]"
32,volume-73_slice_8_0,0.9632987976074219,0.9632987976074219,0.9291961805236142,0.9632987976074219,0.9632987976074219,"[[0.        0.0354465]
 [1.        0.9645535]]"
33,volume-73_slice_96_0,0.9780807495117188,0.9781945607532615,0.9573197823984707,0.9783083984844496,0.9780807495117188,"[[0.81372436 0.00350003]
 [0.18627564 0.99649997]]"
