,Image,Accuracy,F1,Jaccard,Recall,Precision,confusion
0,volume-71_slice_11_0,1.0,1.0,1.0,1.0,1.0,"[[0. 0.]
 [0. 1.]]"
1,volume-71_slice_26_0,0.9999732971191406,0.9999732971191406,0.9999465956643309,0.9999732971191406,0.9999732971191406,"[[0. 0.]
 [1. 1.]]"
2,volume-71_slice_33_0,1.0,1.0,1.0,1.0,1.0,"[[0. 0.]
 [0. 1.]]"
3,volume-71_slice_46_0,1.0,1.0,1.0,1.0,1.0,"[[0. 0.]
 [0. 1.]]"
4,volume-71_slice_50_0,1.0,1.0,1.0,1.0,1.0,"[[0. 0.]
 [0. 1.]]"
5,volume-71_slice_51_0,1.0,1.0,1.0,1.0,1.0,"[[0. 0.]
 [0. 1.]]"
6,volume-71_slice_85_0,0.9859390258789062,0.9859390258789062,0.9722679908212015,0.9859390258789062,0.9859390258789062,"[[0.84816279 0.        ]
 [0.15183721 1.        ]]"
7,volume-71_slice_89_0,0.9339141845703125,0.9339141845703125,0.8760215838664892,0.9339141845703125,0.9339141845703125,"[[0. 0.]
 [1. 1.]]"
8,volume-72_slice_13_0,1.0,1.0,1.0,1.0,1.0,"[[0. 0.]
 [0. 1.]]"
9,volume-72_slice_15_0,1.0,1.0,1.0,1.0,1.0,"[[0. 0.]
 [0. 1.]]"
10,volume-72_slice_16_0,1.0,1.0,1.0,1.0,1.0,"[[0. 0.]
 [0. 1.]]"
11,volume-72_slice_35_0,0.9978790283203125,0.9978790283203125,0.995767034640274,0.9978790283203125,0.9978790283203125,"[[9.27201961e-01 1.99837779e-04]
 [7.27980395e-02 9.99800162e-01]]"
12,volume-72_slice_39_0,0.9583969116210938,0.9583969116210938,0.9201171946529939,0.9583969116210938,0.9583969116210938,"[[0. 0.]
 [1. 1.]]"
13,volume-72_slice_59_0,0.8611907958984375,0.8611907958984375,0.7562204386799405,0.8611907958984375,0.8611907958984375,"[[0. 0.]
 [1. 1.]]"
14,volume-72_slice_6_0,0.846405029296875,0.846405029296875,0.7337107483928996,0.846405029296875,0.846405029296875,"[[0.         0.15359497]
 [0.         0.84640503]]"
15,volume-72_slice_76_0,0.9842033386230469,0.9866780885437682,0.9737064573347927,0.9891653152065146,0.9842033386230469,"[[0.99282282 0.01108743]
 [0.00717718 0.98891257]]"
16,volume-72_slice_77_0,0.9803009033203125,0.9822587210913476,0.9651359745815228,0.9842243746624844,0.9803009033203125,"[[0.99214008 0.01618536]
 [0.00785992 0.98381464]]"
17,volume-72_slice_83_0,0.9958724975585938,0.9958724975585938,0.9917789276135336,0.9958724975585938,0.9958724975585938,"[[1.         0.00416224]
 [0.         0.99583776]]"
18,volume-72_slice_84_0,0.9984474182128906,0.9984474182128906,0.9968996499727671,0.9984474182128906,0.9984474182128906,"[[8.80123743e-01 9.66068752e-04]
 [1.19876257e-01 9.99033931e-01]]"
19,volume-73_slice_106_0,0.9871292114257812,0.9871292114257812,0.9745855271582341,0.9871292114257812,0.9871292114257812,"[[5.73751747e-01 7.47228373e-05]
 [4.26248253e-01 9.99925277e-01]]"
20,volume-73_slice_11_0,0.9999961853027344,0.9999961853027344,0.9999923706345725,0.9999961853027344,0.9999961853027344,"[[0. 0.]
 [1. 1.]]"
21,volume-73_slice_18_0,1.0,1.0,1.0,1.0,1.0,"[[0. 0.]
 [0. 1.]]"
22,volume-73_slice_1_0,0.9171218872070312,0.9173353479622869,0.8472940778437205,0.9175489081069529,0.9171218872070312,"[[0.         0.08245109]
 [0.         0.91754891]]"
23,volume-73_slice_48_0,1.0,1.0,1.0,1.0,1.0,"[[0. 0.]
 [0. 1.]]"
24,volume-73_slice_53_0,1.0,1.0,1.0,1.0,1.0,"[[0. 0.]
 [0. 1.]]"
25,volume-73_slice_55_0,1.0,1.0,1.0,1.0,1.0,"[[0. 0.]
 [0. 1.]]"
26,volume-73_slice_68_0,0.9967575073242188,0.9967575073242188,0.9935359742047347,0.9967575073242188,0.9967575073242188,"[[0.94581441 0.00263643]
 [0.05418559 0.99736357]]"
27,volume-73_slice_74_0,0.9978446960449219,0.9978446960449219,0.9956986627789683,0.9978446960449219,0.9978446960449219,"[[9.12344656e-01 1.40565150e-04]
 [8.76553438e-02 9.99859435e-01]]"
28,volume-73_slice_78_0,0.9977645874023438,0.9977645874023438,0.9955391466524569,0.9977645874023438,0.9977645874023438,"[[9.41917187e-01 2.92110260e-04]
 [5.80828134e-02 9.99707890e-01]]"
29,volume-73_slice_83_0,0.9939460754394531,0.9939460754394531,0.9879650098016539,0.9939460754394531,0.9939460754394531,"[[0.9635346  0.00462149]
 [0.0364654  0.99537851]]"
