,Image,Accuracy,F1,Jaccard,Recall,Precision
0,new_data\test\image\volume-71_slice_11_0,1.0,1.0,1.0,1.0,1.0
1,new_data\test\image\volume-71_slice_26_0,1.0,1.0,1.0,1.0,1.0
2,new_data\test\image\volume-71_slice_33_0,1.0,1.0,1.0,1.0,1.0
3,new_data\test\image\volume-71_slice_46_0,1.0,1.0,1.0,1.0,1.0
4,new_data\test\image\volume-71_slice_50_0,1.0,1.0,1.0,1.0,1.0
5,new_data\test\image\volume-71_slice_51_0,1.0,1.0,1.0,1.0,1.0
6,new_data\test\image\volume-71_slice_85_0,0.9787406921386719,0.9787406921386719,0.9583664840111012,0.9787406921386719,0.9787406921386719
7,new_data\test\image\volume-71_slice_89_0,0.9855766296386719,0.9855766296386719,0.9715634107361099,0.9855766296386719,0.9855766296386719
8,new_data\test\image\volume-72_slice_13_0,1.0,1.0,1.0,1.0,1.0
9,new_data\test\image\volume-72_slice_15_0,1.0,1.0,1.0,1.0,1.0
10,new_data\test\image\volume-72_slice_16_0,1.0,1.0,1.0,1.0,1.0
11,new_data\test\image\volume-72_slice_35_0,0.999237060546875,0.999237060546875,0.998475284359467,0.999237060546875,0.999237060546875
12,new_data\test\image\volume-72_slice_39_0,0.9580650329589844,0.9580650329589844,0.9195055960928032,0.9580650329589844,0.9580650329589844
13,new_data\test\image\volume-72_slice_59_0,0.8526115417480469,0.8526115417480469,0.7430888254244783,0.8526115417480469,0.8526115417480469
14,new_data\test\image\volume-72_slice_6_0,0.9446983337402344,0.9446983337402344,0.895192686550439,0.9446983337402344,0.9446983337402344
15,new_data\test\image\volume-72_slice_76_0,0.9839401245117188,0.9864142125884128,0.9731926244816801,0.9889007740703679,0.9839401245117188
16,new_data\test\image\volume-72_slice_77_0,0.9860916137695312,0.9880609965159591,0.976403709229636,0.9900382613491434,0.9860916137695312
17,new_data\test\image\volume-72_slice_83_0,0.9993133544921875,0.9993133544921875,0.998627651301444,0.9993133544921875,0.9993133544921875
18,new_data\test\image\volume-72_slice_84_0,0.9981117248535156,0.9981117248535156,0.9962305674328641,0.9981117248535156,0.9981117248535156
19,new_data\test\image\volume-73_slice_106_0,0.9962310791015625,0.9962310791015625,0.9924904610613684,0.9962310791015625,0.9962310791015625
20,new_data\test\image\volume-73_slice_11_0,0.9273262023925781,0.9273262023925781,0.8644997243905475,0.9273262023925781,0.9273262023925781
21,new_data\test\image\volume-73_slice_18_0,1.0,1.0,1.0,1.0,1.0
22,new_data\test\image\volume-73_slice_1_0,0.9171218872070312,0.9173353479622869,0.8472940778437205,0.9175489081069529,0.9171218872070312
23,new_data\test\image\volume-73_slice_48_0,1.0,1.0,1.0,1.0,1.0
24,new_data\test\image\volume-73_slice_53_0,1.0,1.0,1.0,1.0,1.0
25,new_data\test\image\volume-73_slice_55_0,1.0,1.0,1.0,1.0,1.0
26,new_data\test\image\volume-73_slice_68_0,0.9987831115722656,0.9987831115722656,0.9975691811798234,0.9987831115722656,0.9987831115722656
27,new_data\test\image\volume-73_slice_74_0,0.9992408752441406,0.9992408752441406,0.9984829021548126,0.9992408752441406,0.9992408752441406
28,new_data\test\image\volume-73_slice_78_0,0.99920654296875,0.99920654296875,0.9984143440873331,0.99920654296875,0.99920654296875
29,new_data\test\image\volume-73_slice_83_0,0.997955322265625,0.997955322265625,0.995918988883813,0.997955322265625,0.997955322265625
30,new_data\test\image\volume-73_slice_84_0,0.9972457885742188,0.9972457885742188,0.994506706839226,0.9972457885742188,0.9972457885742188
31,new_data\test\image\volume-73_slice_86_0,0.9970970153808594,0.9970970153808594,0.994210836613986,0.9970970153808594,0.9970970153808594
32,new_data\test\image\volume-73_slice_8_0,0.9756622314453125,0.9756622314453125,0.952480970043646,0.9756622314453125,0.9756622314453125
33,new_data\test\image\volume-73_slice_96_0,0.9958992004394531,0.9960150850681098,0.9920618031752787,0.9961309966689942,0.9958992004394531
34,new_data\test\image\volume-74_slice_15_0,1.0,1.0,1.0,1.0,1.0
35,new_data\test\image\volume-74_slice_2_0,0.9989662170410156,0.9989662170410156,0.9979345692891032,0.9989662170410156,0.9989662170410156
36,new_data\test\image\volume-74_slice_30_0,1.0,1.0,1.0,1.0,1.0
37,new_data\test\image\volume-74_slice_37_0,1.0,1.0,1.0,1.0,1.0
38,new_data\test\image\volume-74_slice_41_0,1.0,1.0,1.0,1.0,1.0
39,new_data\test\image\volume-74_slice_47_0,1.0,1.0,1.0,1.0,1.0
40,new_data\test\image\volume-74_slice_5_0,1.0,1.0,1.0,1.0,1.0
41,new_data\test\image\volume-74_slice_61_0,1.0,1.0,1.0,1.0,1.0
42,new_data\test\image\volume-74_slice_67_0,0.9962921142578125,0.9962921142578125,0.9926116237705043,0.9962921142578125,0.9962921142578125
43,new_data\test\image\volume-74_slice_74_0,0.94061279296875,0.9470924772566215,0.8995020519835841,0.9536620551754545,0.94061279296875
44,new_data\test\image\volume-74_slice_94_0,0.9967155456542969,0.9967155456542969,0.9934525959582517,0.9967155456542969,0.9967155456542969
45,new_data\test\image\volume-74_slice_96_0,0.9989852905273438,0.9989852905273438,0.9979726382378721,0.9989852905273438,0.9989852905273438
46,new_data\test\image\volume-75_slice_18_0,1.0,1.0,1.0,1.0,1.0
47,new_data\test\image\volume-75_slice_19_0,1.0,1.0,1.0,1.0,1.0
48,new_data\test\image\volume-75_slice_23_0,1.0,1.0,1.0,1.0,1.0
49,new_data\test\image\volume-75_slice_26_0,1.0,1.0,1.0,1.0,1.0
50,new_data\test\image\volume-75_slice_30_0,1.0,1.0,1.0,1.0,1.0
51,new_data\test\image\volume-75_slice_57_0,0.9983367919921875,0.9983367919921875,0.996679107319674,0.9983367919921875,0.9983367919921875
52,new_data\test\image\volume-75_slice_64_0,0.9965667724609375,0.9967854124497065,0.9935914258221802,0.9970041483957882,0.9965667724609375
53,new_data\test\image\volume-75_slice_74_0,0.9939079284667969,0.9942132345786423,0.9884930571363533,0.9945187283144327,0.9939079284667969
54,new_data\test\image\volume-75_slice_78_0,0.9927787780761719,0.9927787780761719,0.9856611005275776,0.9927787780761719,0.9927787780761719
55,new_data\test\image\volume-76_slice_104_0,0.9974899291992188,0.998331570728802,0.9966686994968745,0.9991746337437237,0.9974899291992188
56,new_data\test\image\volume-76_slice_110_0,0.99774169921875,0.99774169921875,0.9954935752999209,0.99774169921875,0.99774169921875
57,new_data\test\image\volume-76_slice_132_0,0.9613227844238281,0.974246761756934,0.9497866791292288,0.9875229731689061,0.9613227844238281
58,new_data\test\image\volume-76_slice_151_0,0.9591407775878906,0.9721049457177322,0.9457239254804166,0.9854243744904998,0.9591407775878906
59,new_data\test\image\volume-76_slice_154_0,0.9976119995117188,0.9976119995117188,0.9952353769456178,0.9976119995117188,0.9976119995117188
60,new_data\test\image\volume-76_slice_41_0,1.0,1.0,1.0,1.0,1.0
61,new_data\test\image\volume-76_slice_70_0,1.0,1.0,1.0,1.0,1.0
