,Image,Accuracy,F1,Jaccard,Recall,Precision,confusion
0,volume-71_slice_11_0,0.9977455139160156,0.9977455139160156,0.995501170380802,0.9977455139160156,0.9977455139160156,"[[0. 0.]
 [1. 1.]]"
1,volume-71_slice_26_0,0.9770278930664062,0.9770278930664062,0.9550875204164585,0.9770278930664062,0.9770278930664062,"[[0. 0.]
 [1. 1.]]"
2,volume-71_slice_33_0,0.9896888732910156,0.9896888732910156,0.9795882150826704,0.9896888732910156,0.9896888732910156,"[[0. 0.]
 [1. 1.]]"
3,volume-71_slice_46_0,0.9985008239746094,0.9985008239746094,0.9970061362779341,0.9985008239746094,0.9985008239746094,"[[0. 0.]
 [1. 1.]]"
4,volume-71_slice_50_0,0.9974098205566406,0.9974098205566406,0.9948330245069876,0.9974098205566406,0.9974098205566406,"[[0. 0.]
 [1. 1.]]"
5,volume-71_slice_51_0,0.9968376159667969,0.9968376159667969,0.9936951702266013,0.9968376159667969,0.9968376159667969,"[[0. 0.]
 [1. 1.]]"
6,volume-71_slice_85_0,0.9112777709960938,0.9112777709960938,0.8370158583331582,0.9112777709960938,0.9112777709960938,"[[4.69358692e-01 7.13606089e-04]
 [5.30641308e-01 9.99286394e-01]]"
7,volume-71_slice_89_0,0.8834342956542969,0.8834342956542969,0.7912067263179832,0.8834342956542969,0.8834342956542969,"[[0. 0.]
 [1. 1.]]"
8,volume-72_slice_13_0,0.9755859375,0.9755859375,0.9523355576739753,0.9755859375,0.9755859375,"[[0. 0.]
 [1. 1.]]"
9,volume-72_slice_15_0,0.9784355163574219,0.9784355163574219,0.9577814538624406,0.9784355163574219,0.9784355163574219,"[[0. 0.]
 [1. 1.]]"
10,volume-72_slice_16_0,0.9797897338867188,0.9797897338867188,0.9603801945842463,0.9797897338867188,0.9797897338867188,"[[0. 0.]
 [1. 1.]]"
11,volume-72_slice_35_0,0.9731063842773438,0.9731063842773438,0.9476214180108026,0.9731063842773438,0.9731063842773438,"[[0.46665883 0.00991559]
 [0.53334117 0.99008441]]"
12,volume-72_slice_39_0,0.9474906921386719,0.9474906921386719,0.900220724949168,0.9474906921386719,0.9474906921386719,"[[0. 0.]
 [1. 1.]]"
13,volume-72_slice_59_0,0.8176536560058594,0.8176536560058594,0.6915517269192921,0.8176536560058594,0.8176536560058594,"[[0. 0.]
 [1. 1.]]"
14,volume-72_slice_6_0,0.8305587768554688,0.8305587768554688,0.710218487614251,0.8305587768554688,0.8305587768554688,"[[0.13121449 0.15408636]
 [0.86878551 0.84591364]]"
15,volume-72_slice_76_0,0.9807167053222656,0.983182688207613,0.9669216650870305,0.9856611036349485,0.9807167053222656,"[[0.85554499 0.0023037 ]
 [0.14445501 0.9976963 ]]"
16,volume-72_slice_77_0,0.9774818420410156,0.9794340296955716,0.9596969311091302,0.9813940306167392,0.9774818420410156,"[[0.8290688  0.00726325]
 [0.1709312  0.99273675]]"
17,volume-72_slice_83_0,0.995574951171875,0.995574951171875,0.991188891927202,0.995574951171875,0.995574951171875,"[[0.85307898 0.00278211]
 [0.14692102 0.99721789]]"
18,volume-72_slice_84_0,0.9942588806152344,0.9942588806152344,0.9885833058346514,0.9942588806152344,0.9942588806152344,"[[0.45724907 0.00297164]
 [0.54275093 0.99702836]]"
19,volume-73_slice_106_0,0.9384422302246094,0.9384422302246094,0.8840237026602606,0.9384422302246094,0.9384422302246094,"[[0.21937887 0.        ]
 [0.78062113 1.        ]]"
20,volume-73_slice_11_0,0.963775634765625,0.963775634765625,0.9300839346193491,0.963775634765625,0.963775634765625,"[[0. 0.]
 [1. 1.]]"
21,volume-73_slice_18_0,0.9708404541015625,0.9708404541015625,0.9433332839118123,0.9708404541015625,0.9708404541015625,"[[0. 0.]
 [1. 1.]]"
22,volume-73_slice_1_0,0.8405876159667969,0.840783263317346,0.7253029021332341,0.8409790017632107,0.8405876159667969,"[[0.04300487 0.08605787]
 [0.95699513 0.91394213]]"
23,volume-73_slice_48_0,0.9909553527832031,0.9909553527832031,0.9820728503109465,0.9909553527832031,0.9909553527832031,"[[0. 0.]
 [1. 1.]]"
24,volume-73_slice_53_0,0.9928550720214844,0.9928550720214844,0.9858115197127457,0.9928550720214844,0.9928550720214844,"[[0. 0.]
 [1. 1.]]"
25,volume-73_slice_55_0,0.9841346740722656,0.9841346740722656,0.9687649031366526,0.9841346740722656,0.9841346740722656,"[[0. 0.]
 [1. 1.]]"
26,volume-73_slice_68_0,0.9738578796386719,0.9738578796386719,0.9490477588969394,0.9738578796386719,0.9738578796386719,"[[0.29359543 0.00504604]
 [0.70640457 0.99495396]]"
27,volume-73_slice_74_0,0.9835853576660156,0.9835853576660156,0.9677008936111121,0.9835853576660156,0.9835853576660156,"[[0.57379392 0.00285715]
 [0.42620608 0.99714285]]"
28,volume-73_slice_78_0,0.9771270751953125,0.9771270751953125,0.9552770940553442,0.9771270751953125,0.9771270751953125,"[[0.60475143 0.00599731]
 [0.39524857 0.99400269]]"
29,volume-73_slice_83_0,0.9737281799316406,0.9737281799316406,0.9488014392393441,0.9737281799316406,0.9737281799316406,"[[0.70584795 0.0115228 ]
 [0.29415205 0.9884772 ]]"
30,volume-73_slice_84_0,0.9730567932128906,0.9730567932128906,0.9475273674161518,0.9730567932128906,0.9730567932128906,"[[0.74169824 0.01441996]
 [0.25830176 0.98558004]]"
31,volume-73_slice_86_0,0.9666709899902344,0.9666709899902344,0.9354919687981069,0.9666709899902344,0.9666709899902344,"[[0.74461276 0.02074306]
 [0.25538724 0.97925694]]"
32,volume-73_slice_8_0,0.9096946716308594,0.9096946716308594,0.8343485516956655,0.9096946716308594,0.9096946716308594,"[[8.32350697e-04 3.74121513e-02]
 [9.99167649e-01 9.62587849e-01]]"
33,volume-73_slice_96_0,0.9608879089355469,0.9609997195871255,0.924927295693555,0.9611115562627107,0.9608879089355469,"[[0.6960201  0.00429623]
 [0.3039799  0.99570377]]"
34,volume-74_slice_15_0,0.9948234558105469,0.9948234558105469,0.9897002288416362,0.9948234558105469,0.9948234558105469,"[[0. 0.]
 [1. 1.]]"
35,volume-74_slice_2_0,0.9851188659667969,0.9851188659667969,0.9706741340750625,0.9851188659667969,0.9851188659667969,"[[0. 0.]
 [1. 1.]]"
36,volume-74_slice_30_0,0.9678192138671875,0.9678192138671875,0.937645058762658,0.9678192138671875,0.9678192138671875,"[[0. 0.]
 [1. 1.]]"
37,volume-74_slice_37_0,0.9933013916015625,0.9933013916015625,0.9866919287608943,0.9933013916015625,0.9933013916015625,"[[0. 0.]
 [1. 1.]]"
38,volume-74_slice_41_0,0.995819091796875,0.995819091796875,0.9916729980246163,0.995819091796875,0.995819091796875,"[[0. 0.]
 [1. 1.]]"
39,volume-74_slice_47_0,0.9911308288574219,0.9911308288574219,0.9824175990380725,0.9911308288574219,0.9911308288574219,"[[0. 0.]
 [1. 1.]]"
40,volume-74_slice_5_0,0.9898338317871094,0.9898338317871094,0.9798722853075236,0.9898338317871094,0.9898338317871094,"[[0. 0.]
 [1. 1.]]"
41,volume-74_slice_61_0,0.971160888671875,0.971160888671875,0.9439385400290689,0.971160888671875,0.971160888671875,"[[0. 0.]
 [1. 1.]]"
42,volume-74_slice_67_0,0.9644203186035156,0.9644203186035156,0.9312854780068589,0.9644203186035156,0.9644203186035156,"[[0.         0.00382995]
 [1.         0.99617005]]"
43,volume-74_slice_74_0,0.8800201416015625,0.8860824158202116,0.7954649683285692,0.8922287928773927,0.8800201416015625,"[[0.56794212 0.05542579]
 [0.43205788 0.94457421]]"
44,volume-74_slice_94_0,0.9379806518554688,0.9379806518554688,0.8832048620340371,0.9379806518554688,0.9379806518554688,"[[4.36947401e-01 8.14391585e-05]
 [5.63052599e-01 9.99918561e-01]]"
45,volume-74_slice_96_0,0.9788093566894531,0.9788093566894531,0.9584981639826821,0.9788093566894531,0.9788093566894531,"[[0.57598657 0.        ]
 [0.42401343 1.        ]]"
46,volume-75_slice_18_0,0.9813575744628906,0.9813575744628906,0.9633975081544839,0.9813575744628906,0.9813575744628906,"[[0. 0.]
 [1. 1.]]"
47,volume-75_slice_19_0,0.9782562255859375,0.9782562255859375,0.9574379116201969,0.9782562255859375,0.9782562255859375,"[[0. 0.]
 [1. 1.]]"
48,volume-75_slice_23_0,0.97296142578125,0.97296142578125,0.9473465264158792,0.97296142578125,0.97296142578125,"[[0. 0.]
 [1. 1.]]"
49,volume-75_slice_26_0,0.9727821350097656,0.9727821350097656,0.9470066362397365,0.9727821350097656,0.9727821350097656,"[[0. 0.]
 [1. 1.]]"
50,volume-75_slice_30_0,0.9783058166503906,0.9783058166503906,0.9575329218798422,0.9783058166503906,0.9783058166503906,"[[0. 0.]
 [1. 1.]]"
51,volume-75_slice_57_0,0.9815940856933594,0.9815940856933594,0.963853481115785,0.9815940856933594,0.9815940856933594,"[[0.78855721 0.01102988]
 [0.21144279 0.98897012]]"
52,volume-75_slice_64_0,0.9543685913085938,0.9545779733027072,0.9131029851345482,0.9547874471909598,0.9543685913085938,"[[0.69293347 0.02266482]
 [0.30706653 0.97733518]]"
53,volume-75_slice_74_0,0.95355224609375,0.9538451558496319,0.9117628821231475,0.9541382456113565,0.95355224609375,"[[0.75054767 0.00699587]
 [0.24945233 0.99300413]]"
54,volume-75_slice_78_0,0.9542121887207031,0.9542121887207031,0.9124338402389959,0.9542121887207031,0.9542121887207031,"[[6.57548328e-01 4.40290063e-05]
 [3.42451672e-01 9.99955971e-01]]"
55,volume-76_slice_104_0,0.9910736083984375,0.9919098360968682,0.983949523181918,0.9927474761369802,0.9910736083984375,"[[0.92792793 0.00447128]
 [0.07207207 0.99552872]]"
56,volume-76_slice_110_0,0.99114990234375,0.99114990234375,0.9824550789521447,0.99114990234375,0.99114990234375,"[[0.93367347 0.00562789]
 [0.06632653 0.99437211]]"
57,volume-76_slice_132_0,0.9343109130859375,0.9468717441183919,0.8991039209424064,0.959774911928022,0.9343109130859375,"[[0.83173899 0.02097889]
 [0.16826101 0.97902111]]"
58,volume-76_slice_151_0,0.9453697204589844,0.9581477529306238,0.9196579991316384,0.9712759453188687,0.9453697204589844,"[[0.56112714 0.01370369]
 [0.43887286 0.98629631]]"
59,volume-76_slice_154_0,0.9793663024902344,0.9793663024902344,0.9595668895508553,0.9793663024902344,0.9793663024902344,"[[0.01248606 0.00380348]
 [0.98751394 0.99619652]]"
60,volume-76_slice_41_0,0.9832534790039062,0.9832534790039062,0.9670586116593005,0.9832534790039062,0.9832534790039062,"[[0. 0.]
 [1. 1.]]"
61,volume-76_slice_70_0,0.9966926574707031,0.9966926574707031,0.9934071198543026,0.9966926574707031,0.9966926574707031,"[[0. 0.]
 [1. 1.]]"
62,volume-76_slice_86_0,0.9940414428710938,0.9940414428710938,0.9881534739444685,0.9940414428710938,0.9940414428710938,"[[0.62803347 0.00259091]
 [0.37196653 0.99740909]]"
63,volume-77_slice_34_0,0.9955368041992188,0.9955368041992188,0.9911132716072826,0.9955368041992188,0.9955368041992188,"[[0. 0.]
 [1. 1.]]"
64,volume-77_slice_41_0,0.9979171752929688,0.9979171752929688,0.9958430088697705,0.9979171752929688,0.9979171752929688,"[[0. 0.]
 [1. 1.]]"
65,volume-77_slice_52_0,0.9935417175292969,0.9935417175292969,0.9871663185982255,0.9935417175292969,0.9935417175292969,"[[0. 0.]
 [1. 1.]]"
66,volume-77_slice_66_0,0.9523658752441406,0.9523658752441406,0.9090634342080829,0.9523658752441406,0.9523658752441406,"[[0.46396142 0.00839889]
 [0.53603858 0.99160111]]"
67,volume-77_slice_67_0,0.9504356384277344,0.9504356384277344,0.9055525065694545,0.9504356384277344,0.9504356384277344,"[[0.48405166 0.00768262]
 [0.51594834 0.99231738]]"
68,volume-77_slice_80_0,0.9880790710449219,0.9880790710449219,0.9764390109662268,0.9880790710449219,0.9880790710449219,"[[0.94680739 0.00496572]
 [0.05319261 0.99503428]]"
69,volume-77_slice_87_0,0.9148139953613281,0.9148139953613281,0.8430020212672467,0.9148139953613281,0.9148139953613281,"[[3.80370823e-01 3.09575616e-05]
 [6.19629177e-01 9.99969042e-01]]"
70,volume-77_slice_8_0,0.8512382507324219,0.8512382507324219,0.7410050441487542,0.8512382507324219,0.8512382507324219,"[[0.         0.14432579]
 [1.         0.85567421]]"
71,volume-77_slice_92_0,0.9121284484863281,0.9121284484863281,0.8384523404598515,0.9121284484863281,0.9121284484863281,"[[0. 0.]
 [1. 1.]]"
72,volume-78_slice_123_0,0.960693359375,0.960693359375,0.9243598778482499,0.960693359375,0.960693359375,"[[0.04297329 0.00490753]
 [0.95702671 0.99509247]]"
73,volume-78_slice_124_0,0.9604377746582031,0.9604377746582031,0.9238867585270536,0.9604377746582031,0.9604377746582031,"[[0.09677419 0.00504227]
 [0.90322581 0.99495773]]"
74,volume-78_slice_133_0,0.9596748352050781,0.9607982049935552,0.9245540275337925,0.9619242078376942,0.9596748352050781,"[[0.48502793 0.00934447]
 [0.51497207 0.99065553]]"
75,volume-78_slice_154_0,0.8959922790527344,0.8963393342682962,0.8121512001825688,0.8966866584459859,0.8959922790527344,"[[0.5408527  0.00383467]
 [0.4591473  0.99616533]]"
76,volume-78_slice_161_0,0.8851814270019531,0.8860534736488396,0.7954183191819749,0.8869272402036479,0.8851814270019531,"[[0.49125643 0.00154826]
 [0.50874357 0.99845174]]"
77,volume-78_slice_174_0,0.9031944274902344,0.9032874632320681,0.8236319299258698,0.9033805181426228,0.9031944274902344,"[[1.62913162e-01 2.06989340e-04]
 [8.37086838e-01 9.99793011e-01]]"
78,volume-78_slice_185_0,0.9205665588378906,0.9205665588378906,0.8528238275134556,0.9205665588378906,0.9205665588378906,"[[0. 0.]
 [1. 1.]]"
79,volume-78_slice_27_0,0.9494438171386719,0.9494438171386719,0.9037534904156544,0.9494438171386719,0.9494438171386719,"[[0. 0.]
 [1. 1.]]"
80,volume-78_slice_37_0,0.8997879028320312,0.8997879028320312,0.81783131193354,0.8997879028320312,0.8997879028320312,"[[0. 0.]
 [1. 1.]]"
81,volume-78_slice_43_0,0.8605918884277344,0.8605918884277344,0.7552973159373128,0.8605918884277344,0.8605918884277344,"[[0. 0.]
 [1. 1.]]"
82,volume-78_slice_44_0,0.8507041931152344,0.8507041931152344,0.7401960296201885,0.8507041931152344,0.8507041931152344,"[[0. 0.]
 [1. 1.]]"
83,volume-78_slice_48_0,0.8551864624023438,0.8551864624023438,0.7470093900155278,0.8551864624023438,0.8551864624023438,"[[0. 0.]
 [1. 1.]]"
84,volume-78_slice_54_0,0.8848686218261719,0.8848686218261719,0.7935106473958778,0.8848686218261719,0.8848686218261719,"[[0. 0.]
 [1. 1.]]"
85,volume-78_slice_64_0,0.9050788879394531,0.9050788879394531,0.8266156145589091,0.9050788879394531,0.9050788879394531,"[[0. 0.]
 [1. 1.]]"
86,volume-78_slice_66_0,0.9062118530273438,0.9062118530273438,0.8285076552854602,0.9062118530273438,0.9062118530273438,"[[0. 0.]
 [1. 1.]]"
87,volume-78_slice_69_0,0.9246406555175781,0.9246406555175781,0.8598434190969106,0.9246406555175781,0.9246406555175781,"[[0. 0.]
 [1. 1.]]"
88,volume-78_slice_70_0,0.9320945739746094,0.9320945739746094,0.8728250192002001,0.9320945739746094,0.9320945739746094,"[[0. 0.]
 [1. 1.]]"
89,volume-78_slice_75_0,0.9585914611816406,0.9585914611816406,0.9204758991791179,0.9585914611816406,0.9585914611816406,"[[0. 0.]
 [1. 1.]]"
90,volume-79_slice_11_0,0.9475288391113281,0.9475288391113281,0.90028959872997,0.9475288391113281,0.9475288391113281,"[[0.         0.04558274]
 [1.         0.95441726]]"
91,volume-79_slice_136_0,0.9726638793945312,0.9726638793945312,0.9467825182874754,0.9726638793945312,0.9726638793945312,"[[0. 0.]
 [1. 1.]]"
92,volume-79_slice_140_0,0.9696502685546875,0.9696502685546875,0.94108848574602,0.9696502685546875,0.9696502685546875,"[[0. 0.]
 [1. 1.]]"
93,volume-79_slice_14_0,0.9969635009765625,0.9969635009765625,0.993945386780254,0.9969635009765625,0.9969635009765625,"[[0. 0.]
 [1. 1.]]"
