,Image,Accuracy,F1,Jaccard,Recall,Precision,confusion
0,input00024_0,0.7621841430664062,0.7621841430664062,0.6157492156826488,0.7621841430664062,0.7621841430664062,"[[0. 0.]
 [1. 1.]]"
1,input00030_0,0.7635383605957031,0.7635383605957031,0.6175188426901469,0.7635383605957031,0.7635383605957031,"[[0. 0.]
 [1. 1.]]"
2,input00031_0,0.7622909545898438,0.7622909545898438,0.6158886512275857,0.7622909545898438,0.7622909545898438,"[[0. 0.]
 [1. 1.]]"
3,input00050_0,0.8005256652832031,0.8005256652832031,0.6673970772973746,0.8005256652832031,0.8005256652832031,"[[0. 0.]
 [1. 1.]]"
4,input00052_0,0.8128242492675781,0.8128242492675781,0.684670528998011,0.8128242492675781,0.8128242492675781,"[[0. 0.]
 [1. 1.]]"
5,input00060_0,0.8394050598144531,0.8394050598144531,0.7232541093796735,0.8394050598144531,0.8394050598144531,"[[0. 0.]
 [1. 1.]]"
6,input00066_0,0.8581581115722656,0.8581581115722656,0.7515559906055919,0.8581581115722656,0.8581581115722656,"[[0. 0.]
 [1. 1.]]"
7,input00068_0,0.8609504699707031,0.8609504699707031,0.7558498970176996,0.8609504699707031,0.8609504699707031,"[[0. 0.]
 [1. 1.]]"
8,input00071_0,0.8578872680664062,0.8578872680664062,0.7511406221818449,0.8578872680664062,0.8578872680664062,"[[0. 0.]
 [1. 1.]]"
9,input00077_0,0.8507194519042969,0.8507194519042969,0.7402191338867554,0.8507194519042969,0.8507194519042969,"[[0. 0.]
 [1. 1.]]"
10,input00100_0,0.7466278076171875,0.7466278076171875,0.5956952070220718,0.7466278076171875,0.7466278076171875,"[[0. 0.]
 [1. 1.]]"
11,input00124_0,0.7628631591796875,0.7628631591796875,0.6166360373472132,0.7628631591796875,0.7628631591796875,"[[0. 0.]
 [1. 1.]]"
12,input00125_0,0.7640914916992188,0.7642008115021949,0.6183859146493944,0.7643101625907681,0.7640914916992188,"[[0. 0.]
 [1. 1.]]"
13,input00136_0,0.7603111267089844,0.7614526783087745,0.6147949819705051,0.7625976629756885,0.7603111267089844,"[[0. 0.]
 [1. 1.]]"
14,input00142_0,0.7583999633789062,0.760058416038414,0.6129792127868186,0.7617241379310344,0.7583999633789062,"[[0. 0.]
 [1. 1.]]"
15,input00163_0,0.7731361389160156,0.7731361389160156,0.630172722043437,0.7731361389160156,0.7731361389160156,"[[0. 0.]
 [1. 1.]]"
16,input00169_0,0.7736053466796875,0.7736053466796875,0.6307964117303074,0.7736053466796875,0.7736053466796875,"[[0. 0.]
 [1. 1.]]"
17,input00174_0,0.999603271484375,0.999603271484375,0.9992068576309447,0.999603271484375,0.999603271484375,"[[0. 0.]
 [1. 1.]]"
18,input00176_0,0.9997901916503906,0.9997901916503906,0.9995804713214009,0.9997901916503906,0.9997901916503906,"[[0. 0.]
 [1. 1.]]"
19,input00185_0,0.9998016357421875,0.9998016357421875,0.999603350165525,0.9998016357421875,0.9998016357421875,"[[0. 0.]
 [1. 1.]]"
20,input00186_0,0.9994163513183594,0.9994163513183594,0.9988333835308829,0.9994163513183594,0.9994163513183594,"[[0. 0.]
 [1. 1.]]"
21,input00199_0,0.9976425170898438,0.9976425170898438,0.9952961234881756,0.9976425170898438,0.9976425170898438,"[[0. 0.]
 [1. 1.]]"
22,input00200_0,0.9983062744140625,0.9983062744140625,0.9966182765396743,0.9983062744140625,0.9983062744140625,"[[0. 0.]
 [1. 1.]]"
23,input00240_0,0.8418540954589844,0.8418540954589844,0.7268981327465983,0.8418540954589844,0.8418540954589844,"[[0. 0.]
 [1. 1.]]"
24,input00248_0,0.9699630737304688,0.9699630737304688,0.9416779622099267,0.9699630737304688,0.9699630737304688,"[[0. 0.]
 [1. 1.]]"
